iter	Passed	Remaining
0	151	151601
1	153	76458
2	154	51436
3	156	38880
4	157	31377
5	158	26335
6	160	22731
7	161	20059
8	163	17999
9	165	16339
10	166	14987
11	168	13885
12	170	12925
13	171	12102
14	173	11394
15	175	10766
16	176	10217
17	177	9705
18	179	9264
19	181	8886
20	182	8518
21	184	8185
22	185	7880
23	186	7595
24	188	7351
25	189	7114
26	191	6895
27	192	6684
28	193	6488
29	195	6305
30	196	6156
31	198	6002
32	199	5859
33	201	5717
34	202	5587
35	204	5477
36	206	5363
37	207	5251
38	208	5142
39	210	5041
40	211	4956
41	213	4870
42	215	4793
43	217	4717
44	218	4645
45	220	4569
46	221	4499
47	223	4432
48	224	4362
49	226	4305
50	228	4246
51	229	4183
52	230	4124
53	232	4065
54	234	4021
55	235	3970
56	236	3917
57	237	3865
58	239	3814
59	240	3765
60	242	3729
61	243	3687
62	245	3643
63	246	3600
64	247	3556
65	248	3521
66	250	3488
67	251	3443
68	252	3408
69	254	3376
70	255	3347
71	257	3322
72	259	3288
73	260	3255
74	261	3224
75	262	3193
76	264	3166
77	265	3140
78	266	3110
79	268	3082
80	269	3056
81	270	3028
82	272	3009
83	273	2987
84	274	2957
85	276	2933
86	276	2905
87	278	2885
88	280	2869
89	282	2851
90	283	2833
91	285	2815
92	286	2797
93	288	2780
94	289	2762
95	291	2744
96	293	2728
97	294	2712
98	296	2698
99	298	2684
100	299	2667
101	300	2646
102	302	2634
103	303	2618
104	305	2601
105	306	2584
106	307	2568
107	309	2555
108	310	2541
109	312	2527
110	313	2511
111	315	2499
112	317	2489
113	318	2476
114	320	2463
115	321	2447
116	322	2433
117	324	2424
118	325	2410
119	327	2398
120	328	2384
121	329	2370
122	330	2353
123	331	2342
124	333	2332
125	334	2320
126	335	2309
127	336	2294
128	338	2282
129	339	2275
130	341	2266
131	343	2256
132	344	2244
133	345	2232
134	347	2224
135	349	2217
136	350	2207
137	351	2198
138	353	2191
139	355	2185
140	357	2177
141	359	2169
142	360	2162
143	362	2156
144	364	2150
145	366	2142
146	367	2134
147	369	2127
148	371	2119
149	372	2109
150	373	2101
151	375	2092
152	377	2087
153	378	2081
154	380	2073
155	382	2067
156	384	2062
157	385	2056
158	387	2047
159	388	2040
160	390	2032
161	392	2029
162	393	2022
163	395	2013
164	396	2006
165	397	1998
166	399	1994
167	401	1987
168	402	1981
169	404	1973
170	405	1967
171	408	1964
172	409	1957
173	410	1950
174	412	1943
175	414	1941
176	416	1936
177	418	1931
178	419	1924
179	421	1919
180	422	1911
181	424	1906
182	425	1900
183	427	1894
184	429	1889
185	430	1884
186	432	1878
187	433	1871
188	434	1865
189	436	1860
190	438	1855
191	439	1850
192	441	1844
193	442	1838
194	444	1834
195	446	1829
196	447	1824
197	449	1818
198	451	1816
199	452	1811
200	454	1808
201	456	1804
202	458	1799
203	459	1794
204	461	1789
205	462	1783
206	464	1778
207	465	1773
208	467	1767
209	468	1762
210	469	1757
211	471	1752
212	473	1747
213	474	1743
214	476	1739
215	477	1734
216	479	1730
217	480	1725
218	482	1719
219	483	1713
220	484	1709
221	486	1704
222	488	1701
223	489	1696
224	490	1691
225	492	1685
226	493	1680
227	495	1676
228	496	1672
229	498	1667
230	499	1662
231	501	1658
232	502	1654
233	503	1649
234	505	1645
235	506	1640
236	508	1635
237	509	1630
238	510	1626
239	512	1621
240	513	1617
241	514	1612
242	516	1608
243	517	1604
244	519	1600
245	520	1595
246	522	1591
247	523	1587
248	525	1583
249	526	1579
250	528	1575
251	529	1571
252	530	1567
253	532	1563
254	534	1560
255	535	1556
256	537	1553
257	538	1549
258	540	1545
259	541	1540
260	542	1536
261	544	1533
262	545	1529
263	547	1525
264	548	1522
265	550	1518
266	551	1514
267	553	1510
268	554	1507
269	556	1503
270	557	1499
271	558	1495
272	560	1492
273	561	1488
274	563	1484
275	564	1480
276	565	1476
277	567	1473
278	569	1470
279	570	1466
280	571	1462
281	573	1459
282	574	1456
283	576	1452
284	577	1449
285	578	1444
286	580	1441
287	581	1438
288	583	1434
289	584	1431
290	586	1428
291	587	1424
292	589	1422
293	590	1418
294	592	1415
295	593	1412
296	595	1409
297	597	1406
298	598	1403
299	600	1400
300	601	1397
301	603	1394
302	604	1391
303	606	1388
304	607	1384
305	609	1381
306	610	1378
307	612	1375
308	613	1372
309	615	1369
310	616	1366
311	618	1363
312	619	1360
313	621	1357
314	622	1354
315	624	1351
316	625	1348
317	626	1344
318	628	1341
319	630	1338
320	631	1335
321	632	1332
322	633	1328
323	635	1325
324	636	1321
325	637	1318
326	639	1315
327	640	1312
328	642	1309
329	643	1307
330	645	1304
331	647	1302
332	648	1299
333	650	1296
334	651	1294
335	653	1291
336	654	1288
337	656	1285
338	657	1282
339	659	1279
340	660	1276
341	662	1273
342	663	1270
343	664	1267
344	665	1264
345	667	1261
346	668	1257
347	669	1254
348	671	1251
349	672	1248
350	673	1245
351	675	1242
352	676	1240
353	678	1237
354	679	1234
